Model,Accuracy,F1 Score
YOLO_v8_1,0.6082733869552612,0.5611467393317423
YOLO_26_2,0.5976618528366089,0.5432520951292502
YOLO_v8_2,0.5940647721290588,0.5377269210901092
YOLO_26_non_pretrained_2,0.5732014179229736,0.5147981471457195
YOLO_26_non_pretrained_1,0.5732014179229736,0.5092575930389774
YOLO_v26_1,0.5732014179229736,0.503205640141862
From_Scratch,0.47985611510791365,0.3242586290714633
